CARAWA,CARAWA SA 5680
CEDUNA,CEDUNA SA 5690
CEDUNA WATERS,CEDUNA WATERS SA 5690
CHARRA,CHARRA SA 5690
CHINBINGINA,CHINBINGINA SA 5680
DENIAL BAY,DENIAL BAY SA 5690
KALANBI,KALANBI SA 5690
KOONIBBA,KOONIBBA SA 5690
LAURA BAY,LAURA BAY SA 5680
MALTEE,MALTEE SA 5690
MERGHINY,MERGHINY SA 5690
MUDAMUCKLA,MUDAMUCKLA SA 5680
NADIA,NADIA SA 5690
NUNJIKOMPITA,NUNJIKOMPITA SA 5680
PETINA,PETINA SA 5680
PIMBAACLA,PIMBAACLA SA 5661
PUNTABIE,PUNTABIE SA 5680
PUREBA,PUREBA SA 5680
SMOKY BAY,SMOKY BAY SA 5680
THEVENARD,THEVENARD SA 5690
UWORRA,UWORRA SA 5690
WANDANA,WANDANA SA 5690
WATRABA,WATRABA SA 5690
WHITE WELL CORNER,WHITE WELL CORNER SA 5690
YUMBARRA,YUMBARRA SA 5690
